selected_features_length,iterating_feature,train_auc,val_auc,test_auc,best_feature,best_feature_row
12,sourcing_channel_A,0.8484534338750529,0.8484534338750529,0,total_prem_am_paid_cash_credit,0
12,sourcing_channel_B,0.848787342069284,0.848787342069284,0,total_prem_am_paid_cash_credit,0
12,sourcing_channel_E,0.848787342069284,0.848787342069284,0,total_prem_am_paid_cash_credit,0
13,premium,0.8485815767760579,0.8485815767760579,0,plan_age,0
13,plan_age,0.8488207145793325,0.8488207145793325,0,plan_age,1
13,age_years,0.8488207145793325,0.8488207145793325,0,plan_age,0
13,residence_area_type_Urban,0.8488056567894675,0.8488056567894675,0,plan_age,0
13,residence_area_type_Rural,0.8488056567894675,0.8488056567894675,0,plan_age,0
13,sourcing_channel_C,0.8488207145793325,0.8488207145793325,0,plan_age,0
13,sourcing_channel_A,0.8487704292858684,0.8487704292858684,0,plan_age,0
13,sourcing_channel_B,0.8488207145793325,0.8488207145793325,0,plan_age,0
13,sourcing_channel_E,0.8488207145793325,0.8488207145793325,0,plan_age,0
14,premium,0.8485815767760579,0.8485815767760579,0,age_years,0
14,age_years,0.8488207145793325,0.8488207145793325,0,age_years,1
14,residence_area_type_Urban,0.8488056567894675,0.8488056567894675,0,age_years,0
14,residence_area_type_Rural,0.8488056567894675,0.8488056567894675,0,age_years,0
14,sourcing_channel_C,0.8488207145793325,0.8488207145793325,0,age_years,0
14,sourcing_channel_A,0.8487704292858684,0.8487704292858684,0,age_years,0
14,sourcing_channel_B,0.8488207145793325,0.8488207145793325,0,age_years,0
14,sourcing_channel_E,0.8488207145793325,0.8488207145793325,0,age_years,0
15,premium,0.8485815767760579,0.8485815767760579,0,sourcing_channel_C,0
15,residence_area_type_Urban,0.8488056567894675,0.8488056567894675,0,sourcing_channel_C,0
15,residence_area_type_Rural,0.8488056567894675,0.8488056567894675,0,sourcing_channel_C,0
15,sourcing_channel_C,0.8488207145793325,0.8488207145793325,0,sourcing_channel_C,1
15,sourcing_channel_A,0.8487704292858684,0.8487704292858684,0,sourcing_channel_C,0
15,sourcing_channel_B,0.8488207145793325,0.8488207145793325,0,sourcing_channel_C,0
15,sourcing_channel_E,0.8488207145793325,0.8488207145793325,0,sourcing_channel_C,0
16,premium,0.8485815767760579,0.8485815767760579,0,sourcing_channel_B,0
16,residence_area_type_Urban,0.8488056567894675,0.8488056567894675,0,sourcing_channel_B,0
16,residence_area_type_Rural,0.8488056567894675,0.8488056567894675,0,sourcing_channel_B,0
16,sourcing_channel_A,0.8487704292858684,0.8487704292858684,0,sourcing_channel_B,0
16,sourcing_channel_B,0.8488207145793325,0.8488207145793325,0,sourcing_channel_B,1
16,sourcing_channel_E,0.8488207145793325,0.8488207145793325,0,sourcing_channel_B,0
17,premium,0.8485815767760579,0.8485815767760579,0,sourcing_channel_E,0
17,residence_area_type_Urban,0.8488056567894675,0.8488056567894675,0,sourcing_channel_E,0
17,residence_area_type_Rural,0.8488056567894675,0.8488056567894675,0,sourcing_channel_E,0
17,sourcing_channel_A,0.8487704292858684,0.8487704292858684,0,sourcing_channel_E,0
17,sourcing_channel_E,0.8488207145793325,0.8488207145793325,0,sourcing_channel_E,1
18,premium,0.8485815767760579,0.8485815767760579,0,residence_area_type_Urban,0
18,residence_area_type_Urban,0.8488056567894675,0.8488056567894675,0,residence_area_type_Urban,1
18,residence_area_type_Rural,0.8488056567894675,0.8488056567894675,0,residence_area_type_Urban,0
18,sourcing_channel_A,0.8487704292858684,0.8487704292858684,0,residence_area_type_Urban,0
19,premium,0.8488689003087709,0.8488689003087709,0,premium,1
19,residence_area_type_Rural,0.8488056567894675,0.8488056567894675,0,premium,0
19,sourcing_channel_A,0.8488292384617998,0.8488292384617998,0,premium,0
20,residence_area_type_Rural,0.8488689003087709,0.8488689003087709,0,residence_area_type_Rural,1
20,sourcing_channel_A,0.8488351108261085,0.8488351108261085,0,residence_area_type_Rural,0
21,sourcing_channel_A,0.8488351108261085,0.8488351108261085,0,sourcing_channel_A,1
